Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
10.or,G2,G2,3742MB,Phone,Qualcomm SDM636,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
10.or,E,E,2840-2846MB,Phone,Qualcomm MSM8937,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
10.or,G,G,2851-3582MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
10.or,D,10or_D,2868-2874MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3.0
3Go,GT70053G,GT70053G,955MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,27,2.0
3Go,GT10K3IPS,GT10K3IPS,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
4good,4GOOD Light B100,4GOOD_Light_B100,907MB,Phone,Mediatek MT6737M,540x960,240,armeabi-v7a;armeabi,24,3.1
7mobile,DRENA,DRENA,925MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,24,2.0
7mobile,KAMBA,KAMBA,1957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
7mobile,SWEGUE,SWEGUE,1836MB,Phone,Mediatek MT6737T,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.1
7mobile,Swegue 2,Swegue_2,1861MB,Phone,Mediatek MT6739CH,480x996,240,armeabi-v7a;armeabi,27,3.2
7mobile,Kamba 2,7mobile_Kamba_2,2884MB,Phone,Mediatek MT6739CH,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
A1,A1 Smart N9,VFD720,1874MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Aamra WE,E2,E2,964MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,24,2.0
Aamra WE,A50,A50,450MB,Phone,Spreadtrum SC7731E,480x854,240,armeabi-v7a;armeabi,27,3.2
Aamra WE,A10,A10,450MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi-v7a;armeabi,27,3.2
Accent,Pearl_A4,Pearl_A4,955MB,Phone,Mediatek MT6580,720x1440,320,armeabi-v7a;armeabi,24,2.0
Accent,PEARL A4 Lite,PEARL_A4_Lite,903MB,Phone,Spreadtrum SC7731E,720x1440,320,armeabi-v7a;armeabi,27,3.2
Accent,CAMELEON C5,CAMELEON_C5,925-932MB,Phone,Spreadtrum SC7731E,480x854;480x960,240,armeabi-v7a;armeabi,24;27,2.0;3.2
Accent,PEARL A6,PEARL_A6,2897MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Accent,C5,C5,932MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,27,3.2
Accent,FAST7 3G,FAST7_3G,954MB,Tablet,Mediatek MT8321,720x1280,160,armeabi-v7a;armeabi,24,2.0
Accent,Pearl A4 PLUS,PEARL_A4_PLUS,1929MB,Phone,Mediatek MT6737,720x1440,320,armeabi-v7a;armeabi,24,3.1
Accent,Accent Camelon C6 Plus,CAMELEON_C6_PLUS,877MB,Phone,Spreadtrum SC9832,720x1280,320,armeabi-v7a;armeabi,24,2.0
Accent,SPEED S8,SPEED_S8,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Accent,Accent Camelon C6,CAMELEON_C6,947MB,Phone,Mediatek MT6580M,540x960,240,armeabi-v7a;armeabi,24,2.0
ACE France,AS0218,AS0218,885MB,Phone,Spreadtrum SC9832E,720x1440,320,armeabi-v7a;armeabi,27,3.2
ACE France,BUZZ_1_Plus,BUZZ_1_Plus,885MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
ACE France,AS0518,AS0518,1822MB,Phone,Mediatek MT6762,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
ACE France,BUZZ_1_Lite,BUZZ_1_Lite,904MB,Phone,Spreadtrum SC7731C,480x960,240,armeabi-v7a;armeabi,27,3.2
ACE France,URBAN 1,URBAN_1,1839MB,Phone,Mediatek MT6739WA,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
ACE France,AS0618,AS0618,2826MB,Phone,Mediatek MT6752,720x1500,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Acegame S.A.,One_Mundial,One_Mundial,983MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,25,2.0
Acegame S.A.,PROTON_JADE_2_PRO,PROTON_JADE_2_PRO,984MB,Tablet,Rockchip RK3126C,800x1280,160,armeabi-v7a;armeabi,25,2.0
Acegame S.A.,SAPPHIRE_HDLT,SAPPHIRE_HDLT,983MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,25,2.0
Acer,Acer Chromebook 11 (C740),paine_cheets,3883MB,PC,Intel 3215U,1366x768,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,Liquid Jade S,acer_S56,1914-1916MB,Phone,Mediatek MT6752M,720x1280,320,armeabi-v7a;armeabi,19;22,3.0
Acer,Liquid Z330,T01,900MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,22,3.0
Acer,Iconia One 10,acer_Colnago,1966MB,Tablet,Mediatek MT8167B,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Acer,Iconia One 10,acer_jetfirelte,1925MB,Tablet,Mediatek MT8735,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,Iconia One 10,corona,970MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Acer,Chromebook 14 for work,lars_cheets,3846MB,PC,Intel 3855U,768x1366,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,B1-780,acer_barricadewifi,948MB,Phone,Mediatek MT8163,720x1280,213,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,J73G,J73G,957MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,23,2.0
Acer,Iconia Tab 10,acer_asgard,1970MB,Tablet,Mediatek MT8176A,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,Iconia Tab 10,acer_asgardfhd,1954MB,Tablet,Mediatek MT8167B,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,Iconia Tab 10,acer_Titan,3959MB,Tablet,Mediatek MT8176A,1200x1920,240,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,Liquid Z630S,acer_t04,2959-2962MB,Phone,Mediatek MT6753,720x1280,320,armeabi-v7a;armeabi,22;23,3.0
